constellation,name_latin,name_english,stars_figure,stars_unformed,description
Per,Perseus,"Perseus, Bearer of the Gorgon's Head",26,3,"The hero strides mid-rescue, sword-hand raised, Medusa's severed head swinging from his left fist. The raised right hand is 'nebulous' — that misty star is the Double Cluster, two entire star-swarms recorded as one smudge. The Brilliant One in his right side is Mirfak, and the Brilliant One in the Gorgon's head is Algol, whose clockwork winking would later earn it the name of demon. Below the belt-line his legs stride wide, each with knee, calf, and heel — a runner's pose caught in twenty-six stars."
Aur,Auriga,The Charioteer,14,0,"A charioteer without a chariot: he stands in the Milky Way holding the reins, a she-goat slung over his left shoulder and two kids cradled at his left wrist. The goat is Capella, named in the catalogue itself; the Kids keep their name (the Haedi) to this day. His right ankle is 'shared with the horn of the Bull' — one star serving as both the Charioteer's foot and the tip of Taurus' northern horn, a seam in the sky that modern astronomy finally had to rip, giving the star to the Bull."
Oph,Ophiuchus,The Serpent-Bearer,24,5,"A giant grips a living serpent in both fists — left hand near the snake's head, right hand far down its tail — while the coils cross his body. His own head star stands close against the head of kneeling Hercules, crown to crown. Both shoulders are close pairs; each arm runs to an elbow and a two-star fist, and the serpent's stars thread between them (see Serpens, whose catalogue entries name his hands and thigh as landmarks). His right foot gets four stars and a heel-toucher, planted just above the Scorpion."
Ser,Serpens,The Serpent,18,0,"The serpent held by Ophiuchus, and the reason he has a job. Its head is a quadrilateral — jaw, nostrils, temple, neck-root — with a fifth star set inside it at the open mouth and a sixth floating free to the north. From the first bend of the neck the body runs star by star through the Bearer's grip: past his left hand, behind his right thigh, beyond his right hand into the bend of the tail, and out to the tail's tip. The catalogue plots the snake by where it crosses the man — the two constellations are written into each other."
Sge,Sagitta,The Arrow,5,0,"The smallest constellation in the catalogue: an arrow in flight, complete in five stars. One solitary star for the iron head, three along the reed shaft, and one at the notch — the γλυφίς, the nock where the string sat. Whose arrow it is, the sky never says: Cupid's, Apollo's, or the one Hercules loosed at the eagle, take your pick. It flies between the Eagle and the Bird, a single drawn line."
Aql,Aquila,The Eagle,9,6,"The eagle of Zeus stoops through the Milky Way, wings half-folded in the dive. The Brilliant One at the back of its head is named in the catalogue as Aquila itself — the bird condensed into its brightest point, our Altair — with the head star before it and a close companion to the north. Each shoulder is a two-star wing-joint, and one remote star trails far below the tail, touching the Milky Way's edge. The six unformed stars south of the head were later gathered into Antinous, the drowned favourite of the emperor Hadrian, grafted onto the Eagle's talons."
Del,Delphinus,The Dolphin,10,0,"A dolphin caught mid-leap in ten faint stars: a tail of three, a body of three, and — the part everyone remembers — a tight rhombus of four for the head, the little kite-shape that skywatchers would much later nickname Job's Coffin. The catalogue calls it plainly what it is: a quadrilateral rhomboid, preceding side and following side. This is the dolphin that carried the singer Arion safely to shore, paid for the rescue with a place in the sky."
Equ,Equuleus,The Little Horse,4,0,"Four dim stars and no more: a foal's head, floating beside Pegasus — two stars for the head, two for the mouth, and the rest of the animal never drawn. It is the sky's least-committed constellation, a sketch abandoned after the muzzle, and the smallest figure in the catalogue after the Arrow. Tradition makes it Celeris, brother or foal of Pegasus, given by Hermes to the horseman Castor."
Peg,Pegasus,The Winged Horse,20,0,"Half a horse, upside down: head, neck, mane, chest, forelegs and wings — and nothing at all behind the navel, where the figure simply stops. That navel star is 'shared with the head of Andromeda': one star finishing the horse and starting the princess. With the loins, the shoulder, and the wing-shoulder it frames the Great Square, the huge empty box of autumn skies; from the chest the neck stretches out through close-set pairs — neck, mane, head — to the single star in the muzzle. The wings get their tips, the forelegs their knees and ankles, and the rest is left to flight."
And,Andromeda,"Andromeda, the Chained Princess",23,0,"The daughter of Cepheus and Cassiopeia, staked out for the sea-monster and saved by Perseus, who stands just east of her. Her head is the star she shares with Pegasus; from it hang shoulders, two long arms — each ending in a three-star hand, stretched wide where the chains would be — a girdle of three, and legs reaching toward Perseus. Her robe gets its own detail: two stars in the syrma, the trailing train, sweeping behind her feet. The long line from head through girdle to foot is the chain of stars that leads skywatchers from the Great Square toward Perseus."
Tri,Triangulum,The Triangle,4,0,"A shape so simple the sky kept it: one star at the apex, three along the base. The Greeks called it Deltoton, the letter delta; some saw the Nile's delta in it, some the island of Sicily. Four stars, two strokes, done — a proof that a constellation needs only geometry to earn its place."
Ari,Aries,The Ram,13,5,"The ram of the Golden Fleece, lying down with its head turned back: a horn pair and a muzzle pair, one star each for neck and loin, a three-star tail and one folded hind leg. The first unformed star carries a rare thing — a disagreement, preserved: 'the one above the head, which Hipparchus places in the neck.' The catalogue citing its own greatest source, and declining to agree with him."
Tau,Taurus,The Bull,33,11,"Half a bull, like Pegasus is half a horse: the figure begins at the abscissio, the cut-off — four stars marking where the body simply ends — and charges west from there, head lowered. The face is the Hyades, named in the catalogue itself ('for so are called those in the face'), a V of five stars with the bright reddish one, Aldebaran, in the southern eye. The long horns reach north and south; the northern tip is the star shared with Auriga's right foot. And riding above the shoulder, the Pleiades — the Seven Sisters compressed to four catalogue entries, a tiny figure with named ends, granted its own geometry inside the Bull. The disguise Zeus wore for Europa, drawn mid-charge."
Gem,Gemini,The Twins,18,7,"Two figures standing together, named by their stars: the head of the preceding Twin is Castor; the head of the following Twin — 'reddish' — is Pollux. The catalogue tells them apart limb by limb, this Twin's elbow, that Twin's knee, down to four separate foot-tips. The brothers of Helen, one mortal and one divine, sharing the sky on alternating days. Their inner arms reach toward one another; how tightly they embrace is the drawer's choice, and these strokes keep them side by side, lightly touching."
Cnc,Cancer,The Crab,9,4,"The faintest zodiac figure, and the one with the best furniture: at its centre sits 'the cloud-like convolution in the chest, called the Manger' — the Beehive cluster, entered in the catalogue as a single star — and the two stars flanking it are named the Asses, the donkeys feeding at the trough. Around this scene a quadrilateral of body, two claws reaching sideways, and two hind feet. This is the crab that pinched Heracles' heel during the fight with the Hydra and was crushed for its trouble — rewarded with stars, all of them dim."
Leo,Leo,The Lion,27,8,"The Nemean lion in profile, walking west: nostrils, open mouth, a two-star head and a three-star neck curving down to the heart — where Regulus sits, named in the catalogue, the little king at the centre of the beast. That head-to-heart curve is the hook modern skywatchers call the Sickle. The body runs along belly, loins and rump to the tail's tip star, Denebola, with four legs planted beneath. In the unformed margin behind the lion floats the 'nebulous convolution called Berenice's Hair' — the queen's sacrificed locks, catalogued here as Leo's leftovers three centuries before anyone drew them as their own constellation."
Vir,Virgo,The Maiden,26,6,"A winged maiden — harvest goddess, justice goddess, take your myth — gliding along the ecliptic with an ear of wheat in her left hand: Spica, named in the catalogue, the sky's cleanest one-star emblem. Two wings spread from her shoulders; on the northern one sits Previndemiatrix, 'the herald of the vintage', whose dawn rising once told farmers the grapes were ready. Head and face are close pairs, the left leg is a proper quadrilateral, and her robe trails a three-star train — the syrma again, the same trailing hem Andromeda wears. Among her unformed stars the catalogue marks one as double: two stars in one entry, seen and said."
Lib,Libra,The Claws,8,9,"No scales here: in this catalogue the stars of Libra are still the Claws of the Scorpion, reaching west — every description says claw, tip, middle, and never balance. Each claw is a short line ending in a bright star, and those two tips still carry the memory in their Arabic names, Zubenelgenubi and Zubeneschamali: the southern claw and the northern claw. Nine unformed stars scatter around the pincers, nearly outnumbering the figure itself."
Sco,Scorpius,The Scorpion,21,3,"The scorpion that killed Orion, drawn whole and in motion: a three-star brow with a close pair adhering to its northern end and a spur at the foot; a three-star body whose reddish middle is named Antares; and then the tail, counted joint by joint — first segment, second, a paired third, on to the seventh 'by the sting' — before the two-star sting itself. Past the stinger the catalogue notes one more thing: a star 'and it is nebulous' — the cluster now called M7, caught glittering just beyond the weapon."
Sgr,Sagittarius,The Archer,31,0,"A centaur at full draw, aiming down the Milky Way at the Scorpion's heart: arrow-point, grip, and the two arcs of the bow come first, then a three-star head with a strange gem beside it — the eye star, 'nebulous and double', two faint things wrapped in haze. His human back wears the interscapilium, a cloth between the shoulders, catalogued in a northern and a southern fold; the horse half stands on named ankles and ends in a neat quadrilateral at the root of the tail. The figure is dense and the strokes here lean on license — a drawn bow, not a diagram."
Cap,Capricornus,The Goat-Fish,28,0,"Forequarters of a goat, tail of a fish: the old amphibious sign, said to be Pan mid-dive into the Nile, changing as he hit the water. The goat end has two horns — a trio in the following horn, a lone tip star in the preceding one — a three-star muzzle, an eye, a neck, and one folded, 'bent' knee the catalogue singles out. Behind the shoulder the animal dissolves: belly, mid-body, back and southern spine run in quiet pairs and trios to the tail, which flares into a four-star fin. The whole figure swims in faint stars — a boundary creature, half graze and half current."
Aqr,Aquarius,The Water-Pourer,42,3,"The cup-bearer — Ganymede, if you like — stands with a jar tipped from his right hand, and what he pours is most of the constellation: twenty of his forty-two stars belong to the water itself, tumbling south star by star through named bends, pairs, a solitary drop, and three coiling runs, until 'the last star of the water' lands in the mouth of the Southern Fish — the shared star, Fomalhaut, where one constellation ends inside another. The man himself is quieter: head, shoulders, a drapery of three at the left hand, hips and legs — scaffolding for the pour."
Psc,Pisces,The Fishes,34,4,"Two fish swimming apart, bound tail-to-tail by long cords that meet at a single star: 'the one at the knot of the two cords' — the Knot, whose modern name Alrescha still means the cord. The preceding fish hangs below the Great Square of Pegasus, drawn as mouth, skull, back, belly, tail; from its tail one cord runs east through bright trios and a bend to the Knot, and the northern cord climbs from there to the following fish, which leaps upward toward Andromeda — its southern fin catalogued as 'behind the elbow of Andromeda'. Mother and son of the Syrian goddess story, escaped into water, tied so they would never be separated."
Cet,Cetus,The Sea-Monster,22,0,"The monster sent for Andromeda, beached along the sky's southern shore below the Fishes and the Ram. Its head is all appetite — nostrils, a three-star jaw, an eye at the brow, hair and mane behind — and the body is carried by two quadrilaterals, one in the chest and one in the tail, joined by a slack three-star middle. The tail ends in two separate tips, north and south, like a fluke. The river Eridanus, next door, is catalogued as touching this creature's chest — even the scenery interlocks down here."
Ori,Orion,"Orion, the Hunter",38,0,"The great hunter at full stride, and the catalogue's richest single figure: a nebulous head between two named shoulders — the reddish Brilliant One (Betelgeuse) and its partner (Bellatrix) — a club raised in the right hand above a four-star fist, and over the left arm a pelt or shield of NINE stars, counted off with bureaucratic patience: 'second from the northernmost, third from the northernmost…' down to the ninth. Across the waist, the three-star belt; hanging from it the sword, with a hilt, a three-star tip 'joined together', and two more below. The left foot is the brilliant Rigel, 'shared with the water' — the river Eridanus rises right beside it. Thirty-eight stars, no unformed: like Draco, Orion wasted nothing."
Eri,Eridanus,The River,34,0,"A river and nothing but: no body, no face, just thirty-four stars of current, rising at Orion's left foot and wandering west and south in pairs and trios, 'the next two… the next two again…', each group a meander. At its great bend it 'first touches the chest of Cetus'; further on four stars 'make almost a quadrangle' — a wide pool — before the stream narrows through its last reaches to the final star: 'the last of the river, and it is brilliant.' The catalogue's only pure landscape, drawn entirely in flowing water."
Lep,Lepus,The Hare,12,0,"The hare crouched at Orion's feet, forever bolting from the great dog behind it. Its ears get the best geometry — a full quadrangular figure of four stars for two ears — with chin, forefoot, body, belly, loins, hind feet, and a tail-tip filling out the crouch in single stars. Small, quick, and complete: the whole animal in twelve."
CMa,Canis Major,The Great Dog,18,11,"The dog opens with the best star in the sky: 'the most brilliant one in the mouth, called Sirius — and it is reddish.' (That last word has kept historians of astronomy arguing for two thousand years: Sirius is blue-white.) Behind the blaze, a complete hound — ears, head, neck, chest, four legs with knees and named tips, a tail — trotting at Orion's heel. Eleven unformed stars run below and west of the hind feet in straight lines and bright pairs, an escort of strays."
CMi,Canis Minor,The Little Dog,2,0,"Two stars. That is the whole dog: one in the neck, and 'the bright one in the hindquarters, called Procyon' — the name means 'before the dog', because it rises just ahead of Sirius and warns that the big one is coming. The smallest constellation in the catalogue by star count, and still one of the twenty brightest things in the night. One stroke, and the little dog is drawn."
Arg,Argo Navis,The Ship Argo,45,0,"The largest constellation in the catalogue: Jason's ship, sailing the far southern sky stern-first — and only half a ship, like the half-horse and half-bull; the prow is lost in fog or below the horizon, depending on who you ask. The parts are real ship's parts: stern-post and little shields, a goose-head ornament (the cheniskos, 'or the little goose'), keel, decks, a mast with foot, middle and tip, a cut-off where the hull ends, and two steering-oars — in the southern one, 'the preceding of the two remaining, and it is called Canopus', the second-brightest star in the sky, steering the whole vessel. Eighteen centuries later the ship was broken up into Carina, Puppis and Vela; here it still sails whole."
Hya,Hydra,The Water-Snake,25,2,"The longest constellation there is: a water-snake stretched across a quarter of the sky, head under Cancer, tail-tip below the Claws. Five stars cluster in the head — nostrils, eye, skull, gape, chin — then the neck bends, a bright-and-dim pair marks the throat, and the body simply keeps going: trio after trio, 'almost in a straight line', past the base of the Cup, almost in a triangle, past the Crow, to the tip of the tail. Two constellations stand on its back and share its stars — the sky's longest pedestal."
Crt,Crater,The Cup,7,0,"A wine-cup standing on the Water-Snake's back — its base star is declared 'shared with the Water-Snake': the vessel rests directly on the serpent. From the base the bowl opens through a middle pair to two rim stars, with a handle star on each side. Apollo's cup from the tale of the lying raven, set down beside the bird that carried it."
Crv,Corvus,The Crow,7,0,"Apollo's raven, perched on the Water-Snake next to the Cup it was sent to fetch — and, in the myth, blamed the snake for its lateness, which is why all three stand together forever as evidence. Both its beak and its foot are declared 'shared with the Water-Snake': the bird touches its pedestal at two points. Between them: neck, breast, and two wings, one star preceding, a pair following."
Cen,Centaurus,The Centaur,37,0,"The wise centaur — Chiron, by most tellings — man to the waist, horse behind, carrying the thyrsus wand and gripping the Beast (Lupus, next door) by its hind foot. The catalogue marks the miracle point explicitly: 'the brilliant one at the join of the human body' — the seam where man becomes horse, given its own bright star. The human half holds a four-star head, shoulders, a right arm reaching to a hand; the equine half runs through back, loins, thigh and four named legs. Among these stars are the closest of all our stellar neighbours; the catalogue could not know that, and lists them as ankles."
Lup,Lupus,The Beast,19,0,"Not yet a wolf: in this catalogue it is simply the Beast — the wild animal the Centaur grips by the hind foot, carrying it toward the Altar as an offering. Its first star is exactly that grip: 'at the tip of the hind foot, at the hand of the Centaur.' From the captured leg the body runs through shoulder, flank and thigh to a three-star tail-tip, with neck, muzzle and front feet straining away at the far end — an animal drawn mid-struggle, which is the whole story."
Ara,Ara,The Altar,7,0,"The altar of the gods — where the Olympians swore their oaths before the war with the Titans — standing in the far south with its smoke, by the old story, rising as the Milky Way. Seven stars build it like a piece of furniture: a two-star base, a middle, a three-star brazier, and one at the tip of the flame. The Centaur approaches it carrying the Beast: an offering, an altar, and a priest, arranged across three constellations."
CrA,Corona Australis,The Southern Crown,13,0,"The southern answer to Ariadne's crown: a ring of thirteen faint stars lying at the Archer's forefeet — a wreath slipped from someone's head, resting where it fell. The catalogue walks its circle almost star by star — follower after follower up the southern arc, past the knee of Sagittarius, north and north again, then back along the dim preceding side — so the figure closes on itself: one ring, complete."
PsA,Piscis Austrinus,The Southern Fish,12,6,"The lone fish of the deep south, floating on its back below the Water-Pourer with its mouth open — drinking the stream. Its mouth star is the catalogue's third and final shared star: 'the same as the beginning of the water', the point where Aquarius' pour ends and the fish begins; we call it Fomalhaut, the only first-magnitude star in these empty waters. Behind the mouth: a curved head, gills, fins north and south, a belly pair, and the tail's tip. Six unformed stars swim ahead of it, an escort into darker sky."
